,input,true,prediction
0,aurobindo,அரோபிந்தோ,"ஆரோபின்டோ
"
1,pirandhana,பிறந்தன,"பிரந்தன
"
2,paantvitth,பாண்ட்விட்த்,"பாண்ட்வித்த்
"
3,payanpaduththavillai,பயன்படுத்தவில்லை,"பயன்படுத்தவில்லை
"
4,chithiraip,சித்திரைப்,"சிதிதைப்
"
5,veetak,வேதக்,"வீடக்
"
6,veettirkuch,வீட்டிற்குச்,"வீட்டிற்குச்
"
7,seenivasa,சீனிவாச,"சீனிவச
"
8,siridhalavu,சிறிதளவு,"சிறிதலவு
"
9,parappazhavai,பரப்பளவை,"பரப்பழவை
"
10,kaththirukkakudaathu,காத்திருக்ககூடாது,"கத்திருக்ககுடாது
"
11,magilchchiyaana,மகிழ்ச்சியான,"மகில்ச்சியான
"
12,poarththukkeyar,போர்த்துக்கேயர்,"போர்த்துக்கெயர்
"
13,sambrathaaya,சம்பிரதாய,"சம்பிரதாத
ா"
14,grover,க்ரோவர்,"கிரோவரர்
"
15,caaminaathan,சாமிநாதன்,"காமினாதன்
"
16,kidanta,கிடந்த,"கிடன்டா
"
17,neethu,நீது,"நீது
"
18,nirainthirunthanar,நிறைந்திருந்தனர்,"நிறைந்திருந்தனர்
"
19,vimaanangalum,விமானங்களும்,"விமானங்களும்
"
20,beaverton,பெவெர்டன்,பாவரர்ட்்்
21,shipping,ஷிப்பிங்,"ஷிப்பிங்
"
22,mudivilaa,முடிவிலா,"முடிவிலா
"
23,eeyaththagadu,ஈயத்தகடு,"ஈயத்தகடு
"
24,miramar,மிரமர்,"மிரமர்
"
25,thirumaalin,திருமாலின்,"திருமாளின்
"
26,nulainthathu,நுழைந்தது,"நுலைந்தது
"
27,tuurbauu,டர்போ,"துர்பாபு
"
28,piranthullathu,பிறந்துள்ளது,"பிரந்துள்ளது
"
29,nunmai,நுண்மை,"நுண்மை
"
30,aalosanai,ஆலோசானை,"ஆளோசனை
"
31,tamizhaiyum,தமிழையும்,"தமிழையும்
"
32,sarwar,சர்வர்,"சர்வர்
"
33,piranthapoothu,பிறந்தபோது,"பிரந்தபூது
"
34,malargalil,மலர்களில்,"மலர்களில்
"
35,avarkalinaal,அவர்களினால்,"அவர்களினால்
"
36,becqy,பெக்கி,"பெக்கி
"
37,vazhangkunar,வழங்குநர்,"வழங்குனர்
"
38,vaanggappadum,வாங்கப்படும்,"வாங்கப்படும்
"
39,shores,ஷோர்ஸ்,"ஷோரே்்
"
40,siraaj,சிராஜ்,"சிறாஜ்
"
41,neeroattaththin,நீரோட்டத்தின்,"நீரோட்டத்தின்
"
42,edhirkkatchi,எதிர்க்கட்சி,"எதிர்க்கட்சி
"
43,majeed,மஜீத்,"மஜீீ்
"
44,peyaroa,பெயரோ,"பெயரோ
"
45,panithan,பணித்தான்,"பணிதன்
"
46,atul,அதுல்,"அடுல்
"
47,vimaanangalin,விமானங்களின்,"விமானங்களின்
"
48,chozhargalukku,சோழர்களுக்கு,"சொழர்களுக்கு
"
49,udaipur,உதய்புர்,"உடைபுர்
"
50,eenoo,ஏனோ,"ஈனூ
"
51,media,மீடியா,"மெடியா
"
52,vangiyaalargaludanaana,வங்கியாளர்களுடனான,"வங்கியாளர்களுடனான
"
53,thiruththuvatharku,திருத்துவதற்கு,"திருத்துவதற்கு
"
54,titaniumm,டைட்டானியம்,"திட்டனிும்ம்
"
55,idharkellaam,இதற்கெல்லாம்,"இதற்கெல்லாம்
"
56,pakiirathan,பகீரதன்,"பகிிரததனன
"
57,kuutukalil,கூடுகளில்,"குடுகளில்
"
58,vaathanggalai,வாதங்களை,"வாதங்களை
"
59,kollaadhavar,கொள்ளாதவர்,"கொள்லாதவர்
"
60,idaith,இடைத்,"இடைத்
"
61,thiyaakaraajar,தியாகராஜர்,"தியாகராஜர்
"
62,accelya,அசில்யா,"அச்செல்யா
"
63,vealaiyaaka,வேலையாக,"வேலையாக
"
64,velaiththittam,வேலைத்திட்டம்,"வெளைத்திட்டம்
"
65,paek,பேக்,"பேக்
"
66,andar,அண்டர்,"அண்டர்
"
67,wai,வேய்,"வைய

"
68,bhusawal,புஸாவால்,"புசவால்
"
69,nilaippaattil,நிலைப்பாட்டில்,"நிலைப்பாட்டில்
"
70,goopee,கோபி,"கோபீ
"
71,arkis,அர்கிஸ்,"அர்கிி்
"
72,maembaalam,மேம்பாலம்,"மேம்பாலம்
"
73,vechchitteengaley,வெச்சிட்டீங்களே,"வெச்சிட்டீங்களேய்
"
74,vaathittu,வாதிட்டு,"வாதிட்டு
"
75,cakkarattai,சக்கரத்தை,"கேக்கரர்டை
"
76,sonwani,சோன்வானி,"சொன்வானி
"
77,panitthaan,பணித்தான்,"பணித்தான்
"
78,cranston,கிரான்ஸ்டான்,"க்ரான்்்டன

"
79,jinivaa,ஜினிவா,"ஜினிவா
"
80,kanavanin,கணவனின்,"கணவனின்
"
81,bakthakedigal,பக்தகேடிகள்,"பக்தக்டெகில்
"
82,kulanggalin,குளங்களின்,"குலங்களின்
"
83,parppavar,வேலைப்,"பர்ப்பவர்
"
84,idharkellam,இதற்கெல்லாம்,"இதற்கெல்லம்
"
85,adankiyuzhzha,அடங்கியுள்ள,"அடங்கியுழ்ழ
"
86,latchiyaththirgum,இலட்சத்திற்கும்,"லட்சியத்திர்கும்
"
87,piridhoru,பிறிதொரு,"பிரிதொரு
"
88,thanggumidam,தங்குமிடம்,"தங்குமிடம்
"
89,railway,ரெயில்வே,"ரைல்வா
"
90,aerpadavillai,ஏற்படவில்லை,"ஏற்படவில்லை
"
91,vipaththin,விபத்தின்,"விபத்தின்
"
92,polavo,போலவோ,"பொலவோ
"
93,maheshh,மகேஷ்,"மாேஷ்
"
94,varunthaan,வருந்தான்,"வருந்தான்
"
95,aanaiya,ஆணைய,"ஆணைய
"
96,noolum,நூலும்,"நூலும்
"
97,erickson,எரிக்சன்,"எரிக்சொன்
"
98,aarampiththullathu,ஆரம்பித்துள்ளது,"ஆரம்பித்துள்ளது
"
99,asija,அசிஜா,"அசிஜா
"
100,katch,கட்ச்,"கட்ச்
"
101,maiyamaaka,மையமாக,"மையமாக
"
102,kooppaiyil,கோப்பையில்,"கூப்பையில்
"
103,kuuttankal,கூட்டங்கள்,"குட்டங்கள்
"
104,sernthuvittiruntha,சேர்ந்துவிட்டிருந்த,"செர்ந்துவிட்டிருந்த
"
105,teta,டாடா,"தெட்டா
"
106,aanaimalai,ஆனைமலை,"ஆணைமலை
"
107,yuneskoavin,யுனெஸ்கோவின்,"யுணே்்கோவின்
"
108,varaaga,வராக,"வராக
"
109,vandhirundhanar,வந்திருந்தனர்,"வந்திருந்தனர்
"
110,rajgarh,ரஜ்கர்,"ராஜ்ரார்
"
111,munnetukka,முன்னெடுக்க,"முன்னெடுக்க
"
112,kkul,க்குள்,"க்குல்
"
113,kallaala,கல்லால,"கல்லால
"
114,lee,லீ,"லீ
"
115,thittamittullaar,திட்டமிட்டுள்ளார்,"திட்டமிட்டுள்ளார்
"
116,thaervil,தேர்வில்,"தேர்வில்
"
117,muguthuvali,முகுதுவலி,"முகுதுவலி
"
118,mansfield,மேன்ஸ்ஃபீல்ட்,"மண்்்பபபிட்
"
119,kaiyaal,கையாள்,"கையால்
"
120,aana,ஆன்,"ஆன
"
121,kudayyil,குடையில்,"குடய்யில்
"
122,sollra,சொல்ற,"சொல்லா
"
123,itarsi,இடார்சி,"இத்ரிரி
"
124,kirishthavarkalin,கிறித்தவர்களின்,"கிரிஷ்தவர்களின்
"
125,adumattumalla,அதுமட்டுமல்ல,"அடுமட்டுமல்லா
"
126,shajapur,சஜாபூர்,ஷாஜபுர்்
127,colii,கோலி,"காலிி
"
128,saethamadainththana,சேதமடைந்தன,"சேதமடைந்தன
"
